    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0001   2.800E+01   1.4000   0.1174   0.000E+00   5.00000000E+00   1.25000000E+01
       5       114.941     0.5431   5.059E+00   0.2590   0.0271   1.596E-17   4.99568587E+00   1.24792341E+01
      10       207.322     0.5227   2.729E+01   1.4000   0.1829   1.577E-17   4.99258833E+00   1.24650444E+01
      15           300     0.3550   2.735E+01   1.4000   0.2096   1.435E-17   4.98972636E+00   1.24522593E+01
      20       414.683     0.6585   5.317E+00   0.2724   0.0452   1.643E-17   4.98643700E+00   1.24378045E+01
      25       507.258     1.6443   2.722E+01   1.4000   0.2458   1.594E-17   4.98393771E+00   1.24269332E+01
      30           600     1.3785   2.708E+01   1.4000   0.2559   1.491E-17   4.98154476E+00   1.24165886E+01
      35       713.932     1.1489   6.068E+00   0.3168   0.0600   1.634E-17   4.97872811E+00   1.24044930E+01
      40        804.94     1.0736   2.376E+01   1.4000   0.3225   1.520E-17   4.97655785E+00   1.23954512E+01
      45           900     0.6826   2.381E+01   1.4000   0.2498   1.588E-17   4.97435469E+00   1.23860610E+01
      50       1007.35     1.0210   1.265E+01   0.7738   0.1369   1.518E-17   4.97193265E+00   1.23761233E+01
      55       1103.65     1.0516   2.309E+01   1.4000   0.2570   1.530E-17   4.96980953E+00   1.23671134E+01
      60          1200     0.6712   2.368E+01   1.4000   0.2715   1.614E-17   4.96772304E+00   1.23581943E+01
      65       1306.52     1.0210   1.348E+01   0.8349   0.1602   1.497E-17   4.96544815E+00   1.23489459E+01
      70       1403.73     0.9957   2.299E+01   1.4000   0.2839   1.533E-17   4.96338701E+00   1.23403269E+01
      75          1500     0.6906   2.290E+01   1.4000   0.2950   1.606E-17   4.96134279E+00   1.23318451E+01
      80       1604.41     1.0146   1.559E+01   0.9996   0.2153   1.485E-17   4.95909573E+00   1.23228042E+01
      85       1701.07     1.0400   2.083E+01   1.4000   0.3146   1.475E-17   4.95695384E+00   1.23145107E+01
      90          1800     0.6130   1.966E+01   1.4000   0.3206   1.388E-17   4.95465789E+00   1.23063151E+01
      95       1878.94     1.0152   1.873E+01   1.4000   0.3209   1.475E-17   4.95271919E+00   1.22999308E+01
     100       1956.36     0.6568   1.789E+01   1.4000   0.3144   2.082E-17   4.95070660E+00   1.22938737E+01
     105       2032.37     0.6704   7.635E+00   0.6248   0.1365   2.255E-17   4.94861558E+00   1.22882328E+01
     110          2100     0.6669   1.654E+01   1.4000   0.3043   2.038E-17   4.94666037E+00   1.22835643E+01
     115       2176.23     0.9524   1.610E+01   1.4000   0.3174   1.821E-17   4.94436226E+00   1.22787663E+01
     120       2251.33     0.6705   1.542E+01   1.4000   0.3211   1.995E-17   4.94201746E+00   1.22746087E+01
     125       2324.29     0.6431   1.442E+01   1.4000   0.3117   1.952E-17   4.93968195E+00   1.22712154E+01
     130       2382.59     0.6411   1.414E+01   1.4000   0.3164   2.168E-17   4.93778773E+00   1.22690408E+01
     135       2442.04     0.6460   1.406E+01   1.4000   0.3254   2.515E-17   4.93584070E+00   1.22673910E+01
     140        2502.3     0.6714   1.394E+01   1.4000   0.3219   2.168E-17   4.93385968E+00   1.22663655E+01
     145       2561.69     0.6266   1.382E+01   1.4000   0.3004   2.299E-17   4.93190431E+00   1.22660357E+01
     150       2621.21     0.6176   1.359E+01   1.4000   0.3086   2.255E-17   4.92994460E+00   1.22663884E+01
     155        2679.7     0.6408   1.290E+01   1.4000   0.2966   2.342E-17   4.92801858E+00   1.22673608E+01
     160       2737.75     0.6510   1.233E+01   1.4000   0.3007   2.385E-17   4.92610624E+00   1.22687905E+01
     165       2795.98     0.6456   1.190E+01   1.4000   0.2859   2.342E-17   4.92418637E+00   1.22704144E+01
     170       2843.29     0.6480   1.166E+01   1.4000   0.3080   2.255E-17   4.92262715E+00   1.22716621E+01
     175       2891.37     0.6837   1.151E+01   1.4000   0.3133   2.353E-17   4.92104342E+00   1.22727492E+01
     180          2940     0.3645   1.143E+01   1.4000   0.2965   2.255E-17   4.91944510E+00   1.22735028E+01
