    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0001   2.800E+01   1.4000   0.1181   0.000E+00   5.00000000E+00   1.25000000E+01
       5       114.726     0.5415   5.274E+00   0.2717   0.0283   1.682E-17   4.99579456E+00   1.24797505E+01
      10       207.198     0.5217   2.717E+01   1.4000   0.1814   1.617E-17   4.99276244E+00   1.24658478E+01
      15           300     0.4527   2.713E+01   1.4000   0.2070   1.512E-17   4.98995693E+00   1.24533058E+01
      20       414.288     0.5387   5.712E+00   0.2947   0.0487   1.615E-17   4.98674501E+00   1.24391846E+01
      25       507.076     0.5081   2.705E+01   1.4000   0.2450   1.641E-17   4.98428836E+00   1.24284986E+01
      30           600     0.4498   2.693E+01   1.4000   0.2555   1.515E-17   4.98193551E+00   1.24183322E+01
      35       713.706     0.5229   6.294E+00   0.3287   0.0623   1.608E-17   4.97917496E+00   1.24064756E+01
      40       806.128     0.5420   2.484E+01   1.4000   0.3006   1.596E-17   4.97701060E+00   1.23973087E+01
      45           900     0.4616   2.344E+01   1.4000   0.2477   1.616E-17   4.97487332E+00   1.23882825E+01
      50       1006.78     0.5459   1.322E+01   0.8110   0.1437   1.517E-17   4.97250614E+00   1.23783028E+01
      55       1103.83     0.5356   2.313E+01   1.4000   0.2575   1.536E-17   4.97040462E+00   1.23694252E+01
      60          1200     0.5560   2.385E+01   1.4000   0.2735   1.615E-17   4.96836056E+00   1.23607678E+01
      65       1306.98     0.9217   1.302E+01   0.7988   0.1541   1.477E-17   4.96612198E+00   1.23515889E+01
      70       1403.82     1.0314   2.306E+01   1.4000   0.2807   1.514E-17   4.96411740E+00   1.23432458E+01
      75          1500     0.9182   2.329E+01   1.4000   0.2936   1.600E-17   4.96213516E+00   1.23350000E+01
      80       1605.08     0.8793   1.492E+01   0.9412   0.1991   1.518E-17   4.95996157E+00   1.23261435E+01
      85       1701.46     0.5410   2.125E+01   1.4000   0.2942   1.480E-17   4.95793734E+00   1.23178323E+01
      90          1800     0.4800   2.040E+01   1.4000   0.2913   1.942E-17   4.95580628E+00   1.23096250E+01
      95       1899.74     0.5366   1.964E+01   1.4000   0.2880   1.453E-17   4.95354745E+00   1.23014978E+01
     100       1977.69     0.4697   2.312E+00   0.1724   0.0358   1.708E-17   4.95168410E+00   1.22953204E+01
     105          2040     0.4716   1.808E+01   1.4000   0.3015   1.839E-17   4.95011902E+00   1.22905604E+01
     110       2117.34     0.5393   1.705E+01   1.4000   0.2976   1.908E-17   4.94807371E+00   1.22849763E+01
     115       2192.64     0.4998   1.601E+01   1.4000   0.2911   1.778E-17   4.94597092E+00   1.22800211E+01
     120       2266.68     0.4808   1.332E+01   1.2295   0.2510   1.995E-17   4.94380374E+00   1.22757463E+01
     125       2339.26     0.4659   7.416E-01   0.0717   0.0157   1.854E-17   4.94160013E+00   1.22722312E+01
     130        2397.5     0.4680   2.505E+00   0.2473   0.0560   1.908E-17   4.93978885E+00   1.22699348E+01
     135       2456.59     0.4722   3.413E+00   0.3386   0.0747   2.580E-17   4.93792287E+00   1.22680877E+01
     140       2516.41     0.4863   3.594E+00   0.3579   0.0767   2.212E-17   4.93601353E+00   1.22666582E+01
     145       2575.47     0.4639   4.531E+00   0.4644   0.0979   2.602E-17   4.93411424E+00   1.22655742E+01
     150       2633.93     0.5210   6.073E+00   0.6360   0.1436   2.122E-17   4.93222467E+00   1.22646732E+01
     155       2692.85     0.5440   7.149E+00   0.7765   0.1876   2.429E-17   4.93031314E+00   1.22637633E+01
     160       2750.65     0.5370   9.349E+00   1.0567   0.2588   2.168E-17   4.92843313E+00   1.22627211E+01
     165          2809     0.4768   1.100E+01   1.2717   0.3315   2.385E-17   4.92653189E+00   1.22613662E+01
     170       2868.01     0.4572   1.193E+01   1.4000   0.3513   2.250E-17   4.92460786E+00   1.22595067E+01
     175       2915.67     0.4727   1.186E+01   1.4000   0.3474   2.168E-17   4.92305547E+00   1.22575673E+01
     180       2963.74     0.5943   1.188E+01   1.4000   0.3372   2.862E-17   4.92149310E+00   1.22551903E+01
     185       3011.92     0.5342   1.200E+01   1.4000   0.3124   2.212E-17   4.91993235E+00   1.22523407E+01
     190          3060     0.3847   1.192E+01   1.4000   0.3210   2.429E-17   4.91838134E+00   1.22490946E+01
     195       3119.45     0.4671   5.540E-01   0.0653   0.0149   2.862E-17   4.91647424E+00   1.22447621E+01
     200       3167.69     0.4735   1.199E+01   1.4000   0.3108   2.342E-17   4.91493685E+00   1.22411680E+01
     205       3216.29     0.4654   1.205E+01   1.4000   0.3077   2.320E-17   4.91339896E+00   1.22374962E+01
     210       3274.99     0.4610   1.139E+01   1.4000   0.2930   2.255E-17   4.91155853E+00   1.22329667E+01
     215       3322.34     0.4782   1.102E+01   1.4000   0.2817   2.429E-17   4.91008741E+00   1.22291418E+01
     220       3370.85     0.4622   1.094E+01   1.4000   0.2750   2.385E-17   4.90859167E+00   1.22249422E+01
     225          3420     0.4131   1.109E+01   1.4000   0.3109   2.505E-17   4.90708666E+00   1.22202092E+01
     230       3476.07     0.4546   3.931E+00   0.4929   0.1150   2.309E-17   4.90538087E+00   1.22139346E+01
     235       3524.23     0.4681   1.096E+01   1.4000   0.3159   2.342E-17   4.90392353E+00   1.22079399E+01
     240        3572.8     0.4747   1.099E+01   1.4000   0.3156   2.320E-17   4.90245935E+00   1.22012799E+01
     245       3622.04     0.5000   1.114E+01   1.4000   0.3003   2.515E-17   4.90097847E+00   1.21939160E+01
     250       3671.23     0.4700   1.136E+01   1.4000   0.2983   2.776E-17   4.89949972E+00   1.21859116E+01
     255          3720     0.4073   1.162E+01   1.4000   0.3267   2.429E-17   4.89803296E+00   1.21773715E+01
     260       3778.77     0.4809   1.235E+00   0.1447   0.0346   2.255E-17   4.89626324E+00   1.21665302E+01
     265       3828.22     0.4817   1.178E+01   1.3679   0.3189   1.984E-17   4.89477258E+00   1.21573904E+01
     270       3887.11     0.4780   1.142E+01   1.4000   0.2778   2.364E-17   4.89299813E+00   1.21468819E+01
     275       3933.43     0.4567   1.096E+01   1.4000   0.2578   2.212E-17   4.89160540E+00   1.21390177E+01
     280       3981.86     0.4820   1.102E+01   1.4000   0.2538   2.082E-17   4.89015402E+00   1.21311008E+01
     285       4031.21     0.4588   1.139E+01   1.4000   0.2803   2.190E-17   4.88868326E+00   1.21232233E+01
     290          4080     0.4146   1.153E+01   1.4000   0.2949   1.941E-17   4.88723849E+00   1.21155510E+01
     295        4138.3     0.4712   1.702E+00   0.2051   0.0436   2.342E-17   4.88552613E+00   1.21064458E+01
     300       4186.43     0.4695   1.165E+01   1.4000   0.2931   2.255E-17   4.88412366E+00   1.20989772E+01
     305       4235.18     0.4673   1.183E+01   1.4000   0.2724   2.299E-17   4.88271284E+00   1.20913970E+01
     310       4283.83     0.5045   1.183E+01   1.4000   0.2723   2.450E-17   4.88131378E+00   1.20839174E+01
     315       4331.75     0.4843   1.171E+01   1.4000   0.2767   2.559E-17   4.87994301E+00   1.20767884E+01
     320          4380     0.4132   1.146E+01   1.4000   0.2665   2.038E-17   4.87856986E+00   1.20699206E+01
     325       4436.73     0.4781   3.271E+00   0.4064   0.0771   2.038E-17   4.87696386E+00   1.20621647E+01
     330       4484.91     0.5029   1.115E+01   1.4000   0.2685   2.147E-17   4.87560725E+00   1.20558073E+01
     335       4533.38     0.4748   1.115E+01   1.4000   0.2728   2.120E-17   4.87425012E+00   1.20495845E+01
     340       4582.39     0.4789   1.123E+01   1.4000   0.2696   2.299E-17   4.87288579E+00   1.20435118E+01
     345       4631.36     0.4830   1.142E+01   1.4000   0.2644   1.908E-17   4.87153043E+00   1.20377284E+01
     350          4680     0.4091   1.188E+01   1.4000   0.2660   2.082E-17   4.87019207E+00   1.20322963E+01
     355       4739.93     0.4853   7.310E-02   0.0085   0.0018   2.125E-17   4.86855397E+00   1.20261487E+01
     360       4787.66     0.4711   1.187E+01   1.4000   0.2791   2.385E-17   4.86725717E+00   1.20218255E+01
     365       4835.36     0.4641   1.168E+01   1.4000   0.2801   2.537E-17   4.86596796E+00   1.20179179E+01
     370       4882.95     0.4529   1.148E+01   1.4000   0.2925   2.602E-17   4.86468901E+00   1.20142696E+01
     375       4931.58     0.4651   1.154E+01   1.4000   0.3054   2.342E-17   4.86339017E+00   1.20106388E+01
     380          4980     0.4079   1.102E+01   1.4000   0.3064   2.391E-17   4.86210648E+00   1.20071271E+01
     385       5034.42     0.4942   5.581E+00   0.7290   0.1570   2.342E-17   4.86067626E+00   1.20032737E+01
     390       5082.73     0.4873   1.070E+01   1.4000   0.2954   2.082E-17   4.85941822E+00   1.19998992E+01
     395       5131.53     0.4864   1.040E+01   1.4000   0.2776   2.342E-17   4.85815838E+00   1.19964739E+01
     400        5181.1     0.4833   1.056E+01   1.4000   0.2647   2.082E-17   4.85688882E+00   1.19929760E+01
     405       5231.08     0.4872   1.118E+01   1.4000   0.2736   2.212E-17   4.85561830E+00   1.19893880E+01
     410          5280     0.4236   1.170E+01   1.4000   0.2822   2.402E-17   4.85438205E+00   1.19857741E+01
     415       5339.06     0.4811   9.391E-01   0.1097   0.0220   2.255E-17   4.85289876E+00   1.19813805E+01
     420       5387.75     0.4982   1.170E+01   1.4000   0.2868   2.255E-17   4.85168279E+00   1.19779543E+01
     425       5434.82     0.4865   1.134E+01   1.4000   0.2980   2.429E-17   4.85051203E+00   1.19749839E+01
     430       5481.47     0.4834   1.047E+01   1.4000   0.2832   2.125E-17   4.84935539E+00   1.19724862E+01
     435       5529.84     0.4858   9.887E+00   1.4000   0.2695   2.300E-17   4.84815778E+00   1.19702703E+01
     440       5578.32     0.4136   1.681E+00   0.2472   0.0432   2.177E-17   4.84695816E+00   1.19681480E+01
     445        5618.2     0.4810   9.500E+00   1.4000   0.2362   2.689E-17   4.84597092E+00   1.19663611E+01
     450       5659.09     0.4669   9.591E+00   1.4000   0.2420   3.123E-17   4.84495736E+00   1.19644191E+01
     455          5700     0.4188   9.922E+00   1.4000   0.2500   2.515E-17   4.84394133E+00   1.19623333E+01
     460       5750.34     0.4963   9.659E+00   1.2914   0.2618   2.862E-17   4.84268596E+00   1.19595238E+01
     465       5801.93     0.4667   1.037E+01   1.4000   0.2903   2.429E-17   4.84139111E+00   1.19564571E+01
     470       5851.37     0.4981   1.048E+01   1.4000   0.2864   2.429E-17   4.84014047E+00   1.19534148E+01
     475       5901.43     0.4863   1.085E+01   1.4000   0.2743   2.342E-17   4.83886302E+00   1.19502697E+01
     480          5951     0.4873   1.090E+01   1.4000   0.2755   2.114E-17   4.83758593E+00   1.19472661E+01
     485          6000     0.4181   1.063E+01   1.4000   0.2730   2.103E-17   4.83631109E+00   1.19445870E+01
     490       6052.92     0.4912   7.080E+00   0.9323   0.1872   2.342E-17   4.83491973E+00   1.19418749E+01
     495       6102.81     0.4883   1.081E+01   1.4000   0.3003   2.093E-17   4.83359391E+00   1.19393553E+01
     500       6150.97     0.4847   1.013E+01   1.4000   0.2689   2.429E-17   4.83230229E+00   1.19367428E+01
     505       6200.04     0.4864   1.019E+01   1.4000   0.2826   2.819E-17   4.83097501E+00   1.19337403E+01
     510       6250.31     0.4613   1.042E+01   1.4000   0.3082   2.385E-17   4.82960524E+00   1.19301493E+01
     515          6300     0.4043   9.708E+00   1.4000   0.2675   2.817E-17   4.82824331E+00   1.19260228E+01
     520       6347.82     0.4826   9.356E+00   1.4000   0.2552   2.689E-17   4.82692716E+00   1.19215177E+01
     525       6387.84     0.4976   9.304E+00   1.4000   0.2667   2.255E-17   4.82582272E+00   1.19175469E+01
     530        6429.4     0.4741   9.222E+00   1.4000   0.2729   2.342E-17   4.82467384E+00   1.19134058E+01
     535       6475.48     0.4081   4.521E+00   0.6849   0.1326   2.613E-17   4.82339770E+00   1.19088275E+01
     540       6517.28     0.4685   9.528E+00   1.4000   0.2638   2.667E-17   4.82223787E+00   1.19046747E+01
     545       6559.34     0.4978   9.601E+00   1.4000   0.2656   2.645E-17   4.82106870E+00   1.19004825E+01
     550          6600     0.4098   9.863E+00   1.4000   0.2657   2.299E-17   4.81993614E+00   1.18965565E+01
     555       6650.48     0.4892   9.521E+00   1.2841   0.2672   2.255E-17   4.81852621E+00   1.18918864E+01
     560       6700.41     0.4812   9.977E+00   1.4000   0.3034   2.949E-17   4.81712714E+00   1.18874238E+01
