    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
       0             0     0.0002   1.400E+01   1.4000   0.0439   0.000E+00   5.00000000E+00   1.25000000E+01
       5            60     1.0527   1.389E+01   1.4000   0.1023   3.666E-17   4.99689037E+00   1.24847580E+01
      10           120     1.0809   1.385E+01   1.4000   0.0995   3.713E-17   4.99397084E+00   1.24709332E+01
      15           180     1.0529   1.384E+01   1.4000   0.1178   3.722E-17   4.99122669E+00   1.24583042E+01
      20           240     1.0148   1.380E+01   1.4000   0.1310   3.850E-17   4.98863314E+00   1.24466330E+01
      25           300     1.0484   1.375E+01   1.4000   0.1420   2.820E-17   4.98616958E+00   1.24357385E+01
      30           360     1.0103   1.371E+01   1.4000   0.1506   2.869E-17   4.98381850E+00   1.24254841E+01
      35           420     1.0081   1.365E+01   1.4000   0.1578   2.836E-17   4.98156540E+00   1.24157675E+01
      40           480     1.0298   1.357E+01   1.4000   0.1638   3.000E-17   4.97939831E+00   1.24065126E+01
      45           540     1.0961   1.339E+01   1.4000   0.1690   3.068E-17   4.97730679E+00   1.23976671E+01
      50           600     1.0304   1.303E+01   1.4000   0.1731   3.306E-17   4.97528122E+00   1.23892040E+01
      55           660     1.0352   1.249E+01   1.4000   0.1762   3.677E-17   4.97331155E+00   1.23811349E+01
      60           720     1.0566   1.190E+01   1.4000   0.1805   2.949E-17   4.97138537E+00   1.23735403E+01
      65       778.457     1.0821   1.543E+00   0.1893   0.0251   3.056E-17   4.96953301E+00   1.23667987E+01
      70       825.117     1.0218   1.099E+01   1.4000   0.1955   3.032E-17   4.96805346E+00   1.23621477E+01
      75       872.201     1.0522   1.054E+01   1.4000   0.2067   2.882E-17   4.96653788E+00   1.23584741E+01
      80       920.228     1.2062   9.899E+00   1.4000   0.2111   2.844E-17   4.96494150E+00   1.23562568E+01
      85           960     0.6744   9.546E+00   1.4000   0.2078   3.296E-17   4.96356073E+00   1.23559572E+01
      90       1007.38     1.0766   9.424E+00   1.4000   0.2258   3.903E-17   4.96182848E+00   1.23577562E+01
      95        1048.1     1.0561   9.292E+00   1.4000   0.2318   3.990E-17   4.96025965E+00   1.23612481E+01
     100       1089.21     1.0524   9.169E+00   1.4000   0.2298   3.903E-17   4.95860669E+00   1.23663415E+01
     105       1133.56     0.6981   6.443E+00   1.0572   0.1716   3.816E-17   4.95676063E+00   1.23729676E+01
     110       1173.25     1.0573   8.111E+00   1.4000   0.2188   3.795E-17   4.95506675E+00   1.23794512E+01
     115       1208.03     1.0408   7.958E+00   1.4000   0.2224   4.228E-17   4.95356094E+00   1.23852967E+01
     120       1246.97     0.6944   7.655E+00   1.4000   0.2175   4.163E-17   4.95185891E+00   1.23919776E+01
     125       1282.32     1.0231   7.423E+00   1.4000   0.2149   3.816E-17   4.95030465E+00   1.23984545E+01
     130       1319.44     0.7024   5.572E-01   0.1054   0.0161   3.990E-17   4.94866733E+00   1.24057277E+01
     135       1349.85     1.0548   7.546E+00   1.4000   0.2206   3.816E-17   4.94732508E+00   1.24123336E+01
     140        1387.5     1.0466   7.539E+00   1.4000   0.2151   4.120E-17   4.94566482E+00   1.24216867E+01
     145       1425.25     0.6638   7.434E+00   1.4000   0.2211   3.990E-17   4.94400578E+00   1.24332498E+01
     150       1461.92     1.0852   7.210E+00   1.4000   0.2159   4.337E-17   4.94240303E+00   1.24480019E+01
     155       1497.07     0.6989   2.929E+00   0.6043   0.0913   4.163E-17   4.94087618E+00   1.24669036E+01
     160       1526.73     1.0532   6.561E+00   1.4000   0.2079   4.207E-17   4.93959682E+00   1.24876776E+01
     165       1559.69     0.6890   3.095E-01   0.0665   0.0104   4.337E-17   4.93818551E+00   1.25162194E+01
     170       1585.91     1.0493   6.393E+00   1.4000   0.2200   4.684E-17   4.93707068E+00   1.25432950E+01
     175       1617.57     0.7107   2.425E+00   0.5435   0.0844   4.879E-17   4.93573397E+00   1.25806568E+01
     180       1644.76     1.0441   6.160E+00   1.4000   0.2222   4.684E-17   4.93459429E+00   1.26158821E+01
     185       1675.35     0.6775   4.653E+00   1.0953   0.1622   4.987E-17   4.93332008E+00   1.26567319E+01
     190       1703.23     1.0711   5.744E+00   1.4000   0.1961   6.505E-17   4.93216567E+00   1.26934465E+01
     195       1732.17     0.6923   5.771E+00   1.4000   0.2180   6.592E-17   4.93097394E+00   1.27275519E+01
     200       1756.86     1.0005   5.517E+00   1.4000   0.2069   6.874E-17   4.92996260E+00   1.27521374E+01
     205       1784.11     0.6951   5.329E+00   1.4000   0.2023   6.505E-17   4.92885274E+00   1.27725130E+01
     210       1805.17     1.0294   5.123E+00   1.4000   0.1910   6.765E-17   4.92800049E+00   1.27829878E+01
     215       1830.78     0.7025   5.107E+00   1.4000   0.2113   6.245E-17   4.92697100E+00   1.27893638E+01
     220       1856.22     0.7192   3.775E+00   1.0486   0.1688   7.242E-17   4.92595595E+00   1.27893089E+01
     225       1880.26     1.0610   5.117E+00   1.4000   0.2358   8.847E-17   4.92500482E+00   1.27846131E+01
     230       1905.81     0.7075   5.177E+00   1.4000   0.2238   9.693E-17   4.92400178E+00   1.27755231E+01
     235        1930.5     1.0302   5.235E+00   1.4000   0.2118   9.714E-17   4.92304039E+00   1.27643753E+01
     240       1957.37     0.7049   5.454E+00   1.4000   0.2009   1.058E-16   4.92200186E+00   1.27501925E+01
